Category_Type,Category_Name,Date
Top Trending Employers,"University of California, Davis",Aug-20
Top Trending Employers,UC Davis Health,Aug-20
Top Trending Employers,Sutter Health,Aug-20
Top Trending Employers,Amazon,Aug-20
Top Trending Employers,California State University-Sacramento,Aug-20
Top Trending Employers,Pacific Gas and Electric Company,Aug-20
Top Trending Employers,Kaiser Permanente,Aug-20
Top Trending Employers,Blue Shield of California,Aug-20
Top Trending Employers,Target,Aug-20
Top Trending Jobs,Real Estate Agent,Aug-20
Top Trending Jobs,Project Manager,Aug-20
Top Trending Jobs,Nurse,Aug-20
Top Trending Jobs,Software Engineer,Aug-20
Top Trending Jobs,Teacher,Aug-20
Top Trending Jobs,Salesperson,Aug-20
Top Trending Jobs,Customer Service Representative,Aug-20
Top Trending Jobs,Account Manager,Aug-20
Top Trending Jobs,Attorney,Aug-20
Top Trending Jobs,Sales Manager,Aug-20
Top Trending Jobs,Accountant,Aug-20
Top Trending Jobs,Professor,Aug-20
Top Trending Jobs,Account Executive,Aug-20
Top Trending Jobs,Operations Manager,Aug-20
Top Trending Jobs,General Manager,Aug-20
Top Trending Jobs,Employment Program Representative,Aug-20
Top Trending Skills,Teaching,Aug-20
Top Trending Skills,JavaScript,Aug-20
Top Trending Skills,Curriculum Development,Aug-20
Top Trending Skills,Account Management,Aug-20
Top Trending Skills,Sales Management,Aug-20
Top Trending Skills,Investment Properties,Aug-20
Top Trending Skills,Working with First-Time Home Buyers,Aug-20
Top Trending Skills,Team Building,Aug-20
Top Trending Skills,Operations Management,Aug-20
Top Trending Skills,Legal Writing,Aug-20
Top Trending Skills,Construction Management,Aug-20
Top Trending Skills,Higher Education,Aug-20
Top Trending Skills,Civil Litigation,Aug-20
Top Trending Skills,Account Reconciliation,Aug-20
Top Trending Skills,Sales Operations,Aug-20
Top Trending Skills,Inventory Management,Aug-20
Top Trending Skills,General Ledger,Aug-20
Top Trending Skills,Customer Satisfaction,Aug-20
Top Trending Skills,Nursing,Aug-20
Top Trending Skills,Basic Life Support (BLS),Aug-20
