Category_Type,Category_Name,,Date
Top Trending Employers,"University of California, Davis",,Dec-20
Top Trending Employers,UC Davis Health,,Dec-20
Top Trending Employers,Sutter Health,,Dec-20
Top Trending Jobs,Real Estate Agent,,Dec-20
Top Trending Jobs,Nurse,,Dec-20
Top Trending Jobs,Software Engineer,,Dec-20
Top Trending Jobs,Project Manager,,Dec-20
Top Trending Jobs,Salesperson,,Dec-20
Top Trending Jobs,Account Executive,,Dec-20
Top Trending Jobs,Attorney,,Dec-20
Top Trending Jobs,Operations Manager,,Dec-20
Top Trending Jobs,Customer Service Representative,,Dec-20
Top Trending Jobs,Account Manager,,Dec-20
Top Trending Skills,JavaScript,,Dec-20
Top Trending Skills,Account Management,,Dec-20
Top Trending Skills,Investment Properties,,Dec-20
Top Trending Skills,Working with First-Time Home Buyers,,Dec-20
Top Trending Skills,Operations Management,,Dec-20
Top Trending Skills,Team Building,,Dec-20
Top Trending Skills,Legal Writing,,Dec-20
Top Trending Skills,Construction Management,,Dec-20
Top Trending Skills,Civil Litigation,,Dec-20
Top Trending Skills,Customer Satisfaction,,Dec-20
Top Trending Skills,Public Speaking,,Dec-20
Top Trending Skills,Nursing,,Dec-20
Top Trending Skills,Nonprofit Organizations,,Dec-20
Top Trending Skills,Basic Life Support (BLS),,Dec-20
