categoryType,categoryName,Date
Top Trending Employers,"University of California, Davis",May-20
Top Trending Employers,UC Davis Health,May-20
Top Trending Employers,Amazon,May-20
Top Trending Employers,Sutter Health,May-20
Top Trending Jobs,Real Estate Agent,May-20
Top Trending Jobs,Project Manager,May-20
Top Trending Jobs,Nurse,May-20
Top Trending Jobs,Software Engineer,May-20
Top Trending Jobs,Account Executive,May-20
Top Trending Jobs,Attorney,May-20
Top Trending Jobs,Salesperson,May-20
Top Trending Jobs,Customer Service Representative,May-20
Top Trending Jobs,Accountant,May-20
Top Trending Jobs,Account Manager,May-20
Top Trending Skills,JavaScript,May-20
Top Trending Skills,Account Management,May-20
Top Trending Skills,Investment Properties,May-20
Top Trending Skills,Working with First-Time Home Buyers,May-20
Top Trending Skills,Legal Writing,May-20
Top Trending Skills,Construction Management,May-20
Top Trending Skills,Civil Litigation,May-20
Top Trending Skills,Account Reconciliation,May-20
Top Trending Skills,General Ledger,May-20
Top Trending Skills,Customer Satisfaction,May-20
Top Trending Skills,Nursing,May-20
Top Trending Skills,Basic Life Support (BLS),May-20
